stocks,timestamp,open,high,low,close,volume
ADANIPORTS,2018-09-21,373.0500,379.7500,316.5500,361.7500,3240911
ADANIPORTS,2018-09-19,382.0000,382.1000,371.0000,372.4000,2121141
ADANIPORTS,2018-09-18,383.6000,388.0000,377.1000,379.5500,2692099
ADANIPORTS,2018-09-17,377.3000,384.0000,376.3000,380.8000,1401771
ADANIPORTS,2018-09-14,376.8000,385.9000,376.1000,380.1000,2937705
ADANIPORTS,2018-09-12,366.7000,377.4500,364.8000,376.0500,3711887
ADANIPORTS,2018-09-11,373.9000,377.8500,363.0000,364.6500,2452935
ADANIPORTS,2018-09-10,375.6500,382.9500,370.6000,371.9500,3129554
ADANIPORTS,2018-09-07,383.0500,385.6000,375.6500,377.4500,1859785
ADANIPORTS,2018-09-06,381.5000,387.5000,374.6500,384.8000,1820623
ADANIPORTS,2018-09-05,374.3000,380.5000,368.5000,379.2000,2276777
ADANIPORTS,2018-09-04,384.5500,386.9500,372.4500,373.7500,2960605
ADANIPORTS,2018-09-03,384.0000,392.9500,378.4500,384.4500,2744322
ADANIPORTS,2018-08-31,384.0000,394.0000,381.2000,383.1500,3931829
ADANIPORTS,2018-08-30,386.2000,389.2000,380.1000,383.7500,3566612
ADANIPORTS,2018-08-29,383.2500,393.3000,383.2500,385.9000,3234342
ADANIPORTS,2018-08-28,380.4000,388.4000,376.1500,386.9500,5128415
ADANIPORTS,2018-08-27,378.0000,382.3000,375.5500,378.6500,2055581
ADANIPORTS,2018-08-24,385.0000,387.8000,375.0000,376.7500,2085488
ADANIPORTS,2018-08-23,379.7000,385.6000,372.5000,384.5000,2012760
ADANIPORTS,2018-08-21,378.5500,382.0000,375.4000,377.9500,1592878
ADANIPORTS,2018-08-20,376.4000,379.5000,374.1500,378.2500,1280487
ADANIPORTS,2018-08-17,371.0000,379.1000,371.0000,374.1000,1983257
ADANIPORTS,2018-08-16,372.0000,374.1000,367.3000,370.3000,2376448
ADANIPORTS,2018-08-14,377.5500,378.7000,371.0000,373.1500,1501909
ADANIPORTS,2018-08-13,378.0000,379.6000,374.6500,377.1500,1438549
ADANIPORTS,2018-08-10,377.3000,382.1000,376.0000,379.3000,1142258
ADANIPORTS,2018-08-09,376.0000,381.0000,371.5500,378.0000,1992284
ADANIPORTS,2018-08-08,375.0000,376.5500,369.6500,374.6000,3276532
ADANIPORTS,2018-08-07,393.5000,394.4500,369.2000,372.3000,9635717
ADANIPORTS,2018-08-06,403.5000,406.4000,395.3000,397.3500,2817990
ADANIPORTS,2018-08-03,399.0500,403.5000,398.1500,399.5500,1632617
ADANIPORTS,2018-08-02,397.6000,404.6000,394.0000,399.1500,2966243
ADANIPORTS,2018-08-01,402.9500,402.9500,395.0500,399.0000,1774615
ADANIPORTS,2018-07-31,389.7500,401.5000,386.1500,399.7500,2502908
ADANIPORTS,2018-07-30,395.0000,397.5000,387.6500,390.8000,1649794
ADANIPORTS,2018-07-27,402.4500,402.4500,391.1500,394.6500,2966414
ADANIPORTS,2018-07-26,395.8000,402.0000,394.7000,399.3000,2388169
ADANIPORTS,2018-07-25,392.5000,401.4500,391.2000,398.7500,4308866
ADANIPORTS,2018-07-24,385.4000,394.3000,382.7500,392.6000,3937762
ADANIPORTS,2018-07-23,370.2000,385.0000,370.0000,383.7500,2517823
ADANIPORTS,2018-07-20,369.6000,376.9000,366.9000,370.0500,1886770
ADANIPORTS,2018-07-19,366.4000,371.0000,364.1000,369.6000,1537925
ADANIPORTS,2018-07-18,365.8500,375.4000,361.7500,364.0500,2065237
ADANIPORTS,2018-07-17,361.1000,369.2000,360.8000,366.7000,1775116
ADANIPORTS,2018-07-16,370.5000,372.3000,358.5000,360.0500,1340324
ADANIPORTS,2018-07-13,374.0000,377.3000,367.5000,370.4000,3006407
ADANIPORTS,2018-07-12,374.4000,375.7000,368.6000,369.3500,1458875
ADANIPORTS,2018-07-11,369.9000,378.3000,368.0000,373.5000,2480112
ADANIPORTS,2018-07-10,367.5500,375.3000,367.5500,370.4500,1656692
ADANIPORTS,2018-07-09,367.0000,369.9000,365.6000,366.9500,1050376
ADANIPORTS,2018-07-06,361.9000,370.9000,358.3500,365.7500,1549142
ADANIPORTS,2018-07-05,361.3500,363.4000,355.6000,361.9000,1526982
ADANIPORTS,2018-07-04,362.9500,363.5000,355.9500,359.9500,1616705
ADANIPORTS,2018-07-03,362.5000,365.4500,360.2500,362.7500,1488048
ADANIPORTS,2018-07-02,371.0000,373.9000,359.1500,362.8000,1732427
ADANIPORTS,2018-06-29,364.4500,377.4000,359.0500,373.1500,3241005
ADANIPORTS,2018-06-28,359.7000,364.4500,358.1500,361.8000,9627099
ADANIPORTS,2018-06-27,362.0000,365.0500,355.1500,361.1000,3186106
ADANIPORTS,2018-06-26,361.0000,366.5500,356.4000,362.9000,1997309
ADANIPORTS,2018-06-25,366.0000,367.7500,359.0500,361.1500,1716838
ADANIPORTS,2018-06-22,364.9000,367.3500,361.2000,365.8000,2982451

